timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
6362,0.0229,-0.0183,1.2385,-0.8321,-2.0534,3.4351
6382,0.0188,-0.0154,1.2439,-1.1069,-1.6947,3.4275
6402,0.0168,-0.0203,1.2346,-0.7405,-1.5267,3.4885
6422,0.0183,-0.0166,1.2297,-0.9695,-1.6565,3.4122
6442,0.0222,-0.0154,1.251,-0.6947,-1.458,3.2443
6462,0.0266,-0.0217,1.2378,-0.7863,-1.3511,3.374
6482,0.0186,-0.0227,1.2046,-0.458,-1.542,3.7176
6502,0.0183,-0.0227,1.2346,-0.6336,-1.6336,3.4427
6522,0.0227,-0.0164,1.2239,-0.3282,-1.5649,3.4122
6542,0.0171,-0.0227,1.2266,-0.3359,-1.6412,3.5573
6562,0.0186,-0.0195,1.2236,-0.3359,-1.8244,3.4427
6582,0.0249,-0.0273,1.2251,-0.7023,-2.0382,3.4885
6602,0.0295,-0.0237,1.2161,-0.5115,-1.8855,3.5115
6622,0.0293,-0.0269,1.1943,-0.4198,-1.8092,3.6107
6642,0.0259,-0.0198,1.2249,-0.3359,-1.8702,3.4198
6662,0.0293,-0.0259,1.2163,-0.2824,-1.7939,3.6489
6682,0.0215,-0.0178,1.2305,-0.374,-1.542,3.3053
6702,0.0266,-0.009,1.241,-0.6336,-2.2366,3.3969
6722,0.0156,-0.0081,1.2444,-0.5649,-2.3053,3.5878
6742,0.0149,-0.0269,1.2314,-0.8244,-1.5878,3.3817
6762,0.019,-0.0208,1.2344,-0.7023,-1,3.5802
6782,0.021,-0.0103,1.2222,-0.3664,-1.5725,3.3893
6802,0.0183,-0.012,1.2271,-0.3053,-2.2824,3.4351
6822,0.0229,-0.0139,1.2244,-0.1679,-1.5878,3.5725
6842,0.0149,-0.0107,1.2217,-0.4885,-1.1679,3.3435
6862,0.0059,-0.0078,1.2437,-0.6107,-1.4046,3.5649
6882,0.0132,-0.012,1.2366,-0.5802,-1.7023,3.5038
6902,0.0142,-0.0227,1.2131,-0.4275,-1.3588,3.6565
6922,0.0095,-0.0225,1.2302,-0.5878,-1.2672,3.3359
6942,0.0076,-0.0176,1.2144,-0.5191,-1.5573,3.771
6962,0.0049,-0.0176,1.2422,-0.1374,-2.1298,3.5038
6982,0.0181,-0.0198,1.2175,-0.4351,-1.9847,3.542
7002,0.0122,-0.0127,1.2417,-0.6565,-1.8168,3.1603
7022,0.0146,-0.0117,1.23,-0.7099,-1.8015,3.4885
7042,0.0085,-0.0176,1.22,-0.8397,-2.0992,3.4809
7062,0.0178,-0.0105,1.2444,-0.7863,-2.2061,3.4962
7082,0.0205,-0.0139,1.2256,-0.5725,-2.4809,3.5649
7102,0.0225,-0.0181,1.2234,-0.7863,-2.2061,3.1069
7122,0.0205,-0.01,1.2471,-1.0305,-2.0458,3.374
7142,0.0291,-0.0139,1.2297,-0.8473,-2.0763,3.4504
7162,0.0142,-0.0071,1.2542,-1.0458,-2.2519,3.3664
7182,0.0171,-0.0164,1.2603,-1.0382,-2.3969,3.3511
7202,0.0222,-0.0117,1.2278,-1.0382,-2,3.4198
7222,0.0144,-0.0212,1.2151,-0.9084,-1.3969,3.6794
7242,0.0178,-0.0183,1.2349,-1.0229,-1.9542,3.5725
7262,0.0129,-0.0112,1.2449,-0.9542,-2.0076,3.4046
7282,0.0198,-0.02,1.2302,-0.9313,-1.5344,3.5267
7302,0.0183,-0.0134,1.2373,-0.7786,-1.5878,3.4656
7322,0.0105,-0.0234,1.2231,-0.5802,-1.9542,3.4962
7342,0.0134,-0.0183,1.2351,-0.3588,-1.8321,3.4046
7362,0.0249,-0.0198,1.2136,-0.4733,-1.5191,3.5038
7382,0.0242,-0.0222,1.2083,-0.4122,-1.6794,3.4809
7402,0.0161,-0.0156,1.2295,-0.5954,-1.7863,3.4275
7422,0.0205,-0.0215,1.2346,-0.7405,-2.1374,3.4427
