timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
5061,0.3,-0.4727,0.9829,-24.2977,-35.8931,-2.3817
5081,0.1753,-0.4692,1.0525,-50.0458,-33.1527,-1.5878
5101,0.1826,-0.4817,1.0066,-66.0076,-20.5573,7.3817
5121,0.2222,-0.4802,0.9558,-67.3588,-14.4962,14.7023
5141,0.2544,-0.5381,1.0559,-64.9237,-23.0763,12.6107
5161,0.4258,-0.5281,0.8538,-70.5038,-52.2672,-4.5496
5181,0.4785,-0.5688,0.9585,-54.1527,-71.3282,-18.2901
5201,0.4053,-0.5779,0.9377,-36.5191,-94.626,-27.4351
5221,0.3154,-0.5007,0.8506,-33.0229,-87.2595,-19.0534
5241,0.3259,-0.5149,0.9282,-36.1069,-70.5496,4.6641
5261,0.1565,-0.4692,1.1011,-68.2061,-19,33.1145
5281,0.3848,-0.6985,1.0313,-41.6947,-18.084,34.9618
5301,0.3989,-0.6982,0.9514,-30.5344,-26.542,31.1221
5321,0.344,-0.6543,0.8823,-29.3359,-20.8092,41.2061
5341,0.4788,-0.4475,1.1348,-45,-9.9542,51.0458
5361,0.2935,-0.7644,1.2581,-91.0534,-21.1908,45.9008
5381,0.3687,-0.7122,1.1812,-106.2595,-13.687,45.5802
5401,0.3975,-0.7241,1.1885,-122.1908,1.4275,51.1527
5421,0.4475,-0.7383,1.2002,-147.542,18.1298,56.7176
5441,0.4854,-0.7241,1.1365,-178.2748,38.374,69.5038
5461,0.4211,-0.7253,1.0149,-204.3206,46.9466,85.0611
5481,0.3003,-0.749,0.8579,-218.9542,43.8244,85.1985
5501,0.2988,-0.7332,0.6047,-227.9313,49.8931,81.374
5521,0.2476,-0.76,0.5256,-221.4733,55.7252,83.3282
5541,0.144,-0.8042,0.5098,-219.229,50.3969,83.3206
5561,0.0747,-0.8125,0.397,-223.3435,37.2366,74.4351
5581,0.0701,-0.7725,0.2058,-223.7023,40,66.855
5601,0.0679,-0.7856,0.0786,-211.771,45.0229,60.8244
5621,0.0762,-0.7717,0.0713,-206.8702,52.8779,57.9847
5641,0.042,-0.7537,0.03,-208.8015,66.6412,57.0382
5661,0.0525,-0.7249,-0.0095,-212.7939,72.5649,55.1069
5681,0.0703,-0.6809,-0.1057,-211.9466,59.9924,50.8779
5701,0.0979,-0.6409,-0.2622,-203.6488,51.5344,49.3969
5721,0.0488,-0.627,-0.3513,-179.4351,36.7405,44.6718
5741,-0.04,-0.6411,-0.3125,-150.687,4.3206,31.9389
5761,-0.0544,-0.6272,-0.2363,-131.7481,-48.9924,13.374
5781,0.156,-0.5396,-0.1985,-138.7863,-66.145,26.0534
5801,0.0012,-0.5129,-0.354,-169.0992,-23.1756,53.5038
5821,-0.252,-0.5439,-0.7415,-181.9847,16.7405,52.6107
5841,-0.3611,-0.531,-0.9709,-143.145,13.5038,35.7481
5861,-0.364,-0.5229,-0.95,-98.8779,-12.8397,15.8015
5881,-0.2168,-0.5354,-0.9268,-77.1374,-24.626,7.1603
5901,-0.1714,-0.5437,-0.9563,-59.8702,-31.084,5.8779
5921,-0.1655,-0.5586,-1.0081,-37.8855,-39.1298,2.4351
5941,-0.1699,-0.5601,-1.0959,-15.3053,-24.771,-3.4351
5961,-0.1877,-0.5688,-1.0723,8.2901,-2.4275,-7.4122
5981,-0.1519,-0.5547,-1.0039,29.7328,-1.5115,-13.3511
6001,-0.1816,-0.5696,-0.9534,54.374,-18.9847,-18.7099
6021,-0.189,-0.5632,-0.9373,77.5573,-40.1985,-25.8397
